,sample,annotation
21148,солёны,"[(0, 6, 'B-TYPE')]"
26935,яблочки,"[(0, 7, 'B-TYPE')]"
17904,прочие ягода,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
2456,агар агар,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
27166,якцо,"[(0, 4, 'B-TYPE')]"
8823,квашеный,"[(0, 8, 'B-TYPE')]"
19612,свиннина,"[(0, 8, 'B-TYPE')]"
19485,сахе ар,"[(0, 6, 'B-TYPE')]"
19518,св ас,"[(0, 4, 'B-TYPE')]"
17336,порог ок,"[(0, 7, 'B-TYPE')]"
13365,море пр,"[(0, 6, 'B-TYPE')]"
12762,мельнич,"[(0, 7, 'B-TYPE')]"
10523,крев,"[(0, 4, 'B-TYPE')]"
14669,обложка proff,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
6096,грибной,"[(0, 7, 'B-TYPE')]"
18722,ром ладо,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]"
15295,основа жля суп,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 15, 'O')]"
25491,чай tess,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]"
24384,фасоль,"[(0, 6, 'B-TYPE')]"
22639,сырой корм,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]"
11090,курага,"[(0, 6, 'B-TYPE')]"
23420,тир,"[(0, 3, 'O')]"
23361,тесто доя чебурек,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]"
17411,поте ник,"[(0, 7, 'O')]"
17830,прочие бобовы,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
13219,молоко село з,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 13, 'I-BRAND')]"
7475,золотой пеушк,"[(0, 7, 'O'), (8, 13, 'O')]"
2552,аквафор,"[(0, 7, 'B-BRAND')]"
6975,желе ростагроэкспорт,"[(0, 4, 'B-TYPE'), (5, 20, 'B-BRAND')]"
8651,кастрю,"[(0, 6, 'B-TYPE')]"
18580,рис увести,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]"
1665,ocean сель,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]"
26492,штопор электрическ,"[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]"
3837,брокалли,"[(0, 8, 'B-TYPE')]"
24315,утре нее,"[(0, 7, 'B-TYPE')]"
2582,алнбй,"[(0, 5, 'O')]"
802,fialco тар ел,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]"
9179,ко баса в вакуум,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]"
17636,прмолькс,"[(0, 8, 'B-TYPE')]"
8916,кефир,"[(0, 6, 'B-TYPE')]"
17466,премиум хек,"[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]"
25458,цыплята,"[(0, 7, 'B-TYPE')]"
10282,кофе три в,"[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE'), (9, 10, 'I-TYPE')]"
15224,орех сёма,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
24701,фруктовый лёд,"[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]"
7963,йогурт питьевой коровка,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 23, 'B-BRAND')]"
12877,миндаль,"[(0, 7, 'B-TYPE')]"
19078,саженец greent,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
24143,увлажнитель воздух,"[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]"
20004,семяски,"[(0, 7, 'B-TYPE')]"
1811,polaris мультивар,"[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]"
25356,цветной,"[(0, 7, 'B-TYPE')]"
3527,бифи,"[(0, 4, 'B-TYPE')]"
9983,корица,"[(0, 6, 'B-TYPE')]"
17233,помидрп,"[(0, 7, 'B-TYPE')]"
4295,ванидиг,"[(0, 7, 'B-TYPE')]"
602,deo,"[(0, 3, 'B-BRAND')]"
12300,маринованная капуста,"[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]"
906,gaudo,"[(0, 5, 'B-BRAND')]"
23596,то мыты,"[(0, 6, 'B-TYPE')]"
15993,пенал,"[(0, 6, 'B-TYPE')]"
20948,сок персик,"[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]"
5040,вода питьевой святой,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 20, 'B-BRAND')]"
10360,краба вые,"[(0, 8, 'B-TYPE')]"
19436,сахар экстра,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
15019,окорок,"[(0, 6, 'B-TYPE')]"
3275,безалкого,"[(0, 9, 'B-TYPE')]"
10525,креведки,"[(0, 8, 'B-TYPE')]"
1760,pasteroni,"[(0, 9, 'B-BRAND')]"
25887,чип,"[(0, 3, 'B-TYPE')]"
20600,смесьь,"[(0, 6, 'B-TYPE')]"
11137,куриный шашлык,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
26279,шок,"[(0, 3, 'B-TYPE')]"
14167,наггнетсы,"[(0, 9, 'B-TYPE')]"
21603,средство для по су,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 17, 'O')]"
18119,пылесос bosc,"[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]"
3928,буженина,"[(0, 9, 'B-TYPE')]"
22277,сыр а,"[(0, 3, 'B-TYPE'), (4, 5, 'I-TYPE')]"
13476,моркрвь,"[(0, 7, 'B-TYPE')]"
6107,гриб,"[(0, 5, 'B-TYPE')]"
22777,сьёс,"[(0, 4, 'B-TYPE')]"
43,albenia,"[(0, 7, 'B-BRAND')]"
13856,мусульманский,"[(0, 13, 'B-TYPE')]"
15991,пенал феникс,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
21741,стелька eva,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
15250,орио,"[(0, 4, 'B-BRAND')]"
4969,вода,"[(0, 4, 'B-TYPE')]"
26728,энергетика,"[(0, 10, 'B-TYPE')]"
17405,посудомй,"[(0, 8, 'B-TYPE')]"
19892,сельдь,"[(0, 7, 'B-TYPE')]"
25309,хрумка 0,"[(0, 7, 'B-TYPE')]"
17448,пр ст цикорич,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]"
10603,крем лля рука,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]"
21246,сосиска филе,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
21252,сосискии,"[(0, 9, 'B-TYPE')]"
874,fruttis,"[(0, 7, 'B-BRAND')]"
6877,если фамильный,"[(0, 4, 'O'), (5, 14, 'B-BRAND')]"
26186,шаурмуа,"[(0, 7, 'B-TYPE')]"
19138,салат рук кола,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
8895,кефир 1,"[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT')]"
1626,nesto,"[(0, 5, 'B-BRAND')]"
20558,смесь для выпечка,"[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE'), (10, 17, 'I-TYPE')]"
17436,пр ст гигиенически,"[(0, 5, 'B-BRAND'), (6, 18, 'B-TYPE')]"
20668,сметана,"[(0, 7, 'B-TYPE')]"
13525,морожено 4,"[(0, 9, 'B-TYPE')]"
21859,сто пры защел,"[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]"
13240,молоков,"[(0, 7, 'B-TYPE')]"
24877,хачапури с курица,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 18, 'O')]"
15359,от матов,"[(0, 7, 'B-TYPE')]"
20524,сме перец,"[(0, 3, 'O'), (4, 9, 'O')]"
2280,vileda совк,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
9563,компот оная,"[(0, 10, 'B-TYPE')]"
976,green ray,"[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]"
18129,пылесос pionee,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
13643,морсь,"[(0, 5, 'B-TYPE')]"
979,greenfiel,"[(0, 9, 'B-BRAND')]"
21890,стэл,"[(0, 4, 'B-BRAND')]"
3819,бритва триммер,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
26569,ъзельцы,"[(0, 7, 'B-TYPE')]"
11842,люминарк круж,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
23783,трансформ ер,"[(0, 11, 'B-TYPE')]"
23417,тимьян kotany,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
5193,всеслав галеты,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
1179,kisa,"[(0, 4, 'B-BRAND')]"
1018,hatber пластилин,"[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]"
20257,скум бри,"[(0, 7, 'B-TYPE')]"
2955,бадья,"[(0, 5, 'B-TYPE')]"
22113,сухарь,"[(0, 6, 'B-TYPE')]"
25652,чебурица,"[(0, 8, 'B-TYPE')]"
20220,скоро вар,"[(0, 8, 'B-TYPE')]"
21332,соус к свинина,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]"
2400,абриклс,"[(0, 7, 'B-TYPE')]"
6945,жедэлудки,"[(0, 9, 'B-TYPE')]"
4646,вермут martini,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
100,arctic,"[(0, 6, 'B-BRAND')]"
14198,напалнитель,"[(0, 11, 'B-TYPE')]"
19885,сельдь слабо солёный,"[(0, 6, 'B-TYPE'), (7, 12, 'O'), (13, 20, 'O')]"
21258,сосискки,"[(0, 8, 'B-TYPE')]"
20406,сливочный,"[(0, 9, 'B-TYPE')]"
18087,пшено селя ночка,"[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]"
26191,шафран kami,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
5425,гарчица,"[(0, 7, 'B-TYPE')]"
949,goodnix,"[(0, 7, 'B-BRAND')]"
26992,яец,"[(0, 3, 'B-TYPE')]"
21857,стол садовый,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
11183,куро,"[(0, 4, 'B-TYPE')]"
21304,соус брусничный,"[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]"
5674,голубина,"[(0, 8, 'B-TYPE')]"
24507,филе цыплёнок,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
17549,приправа для швшлыка,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]"
10259,кофе капсула,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
21788,стики,"[(0, 5, 'B-TYPE')]"
5604,гнижка,"[(0, 6, 'B-TYPE')]"
23395,тетрадь оль дена,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
15003,оигурт,"[(0, 6, 'B-TYPE')]"
21012,соковая продукци,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]"
11419,лёгкий сыр,"[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]"
17900,прочие фруктовый овощной,"[(0, 6, 'B-TYPE'), (7, 23, 'I-TYPE')]"
20273,скумбрмя,"[(0, 8, 'B-TYPE')]"
12239,манказ,"[(0, 6, 'B-TYPE')]"
25830,чечевица сте,"[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]"
26889,яблоеи,"[(0, 6, 'B-TYPE')]"
21728,стекло мой ком фор,"[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]"
321,boreal,"[(0, 6, 'B-BRAND')]"
1334,limpopo бумага,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
20118,сидр vasileosrovsk,"[(0, 4, 'B-TYPE'), (5, 18, 'B-BRAND')]"
24750,фрутомотив,"[(0, 10, 'B-BRAND')]"
8217,канфетф,"[(0, 7, 'B-TYPE')]"
1563,mox,"[(0, 3, 'B-BRAND')]"
15640,папа мочь,"[(0, 4, 'B-BRAND'), (5, 10, 'I-BRAND')]"
22588,сырнй,"[(0, 5, 'B-TYPE')]"
18372,рафа ело,"[(0, 7, 'B-BRAND')]"
12822,мешочек для продукт,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 21, 'O')]"
7254,запечь больше мясо,"[(0, 10, 'B-TYPE'), (11, 21, 'B-BRAND')]"
25595,чан,"[(0, 4, 'B-TYPE')]"
18506,риис,"[(0, 4, 'B-TYPE')]"
15298,оспе житель,"[(0, 10, 'B-TYPE')]"
17920,пр сок,"[(0, 5, 'B-TYPE')]"
14285,напольное покрыть,"[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]"
4359,ваоенье,"[(0, 7, 'B-TYPE')]"
16187,перци,"[(0, 5, 'B-TYPE')]"
23887,трус cascatt,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
948,goodmiks,"[(0, 8, 'B-BRAND')]"
15939,пельмении,"[(0, 9, 'B-TYPE')]"
2322,wolfthron,"[(0, 9, 'B-BRAND')]"
14213,напиток диабетическ,"[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]"
11730,лоч,"[(0, 3, 'O')]"
24991,хлеб коломенский,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]"
18000,пудинг frutt,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
5228,вялажные,"[(0, 8, 'B-TYPE')]"
18415,ре диака,"[(0, 7, 'B-TYPE')]"
25809,чесночный майонезный соус,"[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE'), (20, 24, 'I-TYPE')]"
19475,сахарощаменитель,"[(0, 16, 'B-TYPE')]"
23977,туалетный влажный,"[(0, 9, 'B-TYPE'), (10, 17, 'I-TYPE')]"
10099,корнишонф,"[(0, 9, 'B-TYPE')]"
11711,лососёвый икра,"[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]"
4227,бытовой принадлежность,"[(0, 7, 'B-TYPE'), (8, 22, 'I-TYPE')]"
17819,прочее мы,"[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]"
26827,эссен,"[(0, 5, 'B-BRAND')]"
14497,нори,"[(0, 4, 'B-TYPE')]"
19833,селёдка,"[(0, 7, 'B-TYPE')]"
15437,очки verso,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]"
13355,мор 4 овка,"[(0, 8, 'B-TYPE')]"
11883,мажит ель,"[(0, 8, 'B-BRAND')]"
26961,ягнёнок,"[(0, 7, 'B-TYPE')]"
26522,щелков хлеб,"[(0, 10, 'B-TYPE')]"
17192,помидорный,"[(0, 10, 'B-TYPE')]"
16768,пластырь,"[(0, 8, 'B-TYPE')]"
15894,пел ленки,"[(0, 8, 'B-TYPE')]"
12939,минердка,"[(0, 8, 'B-TYPE')]"
6393,дезидорант,"[(0, 10, 'B-TYPE')]"
10811,круглозерый,"[(0, 11, 'B-TYPE')]"
5120,водоррсл,"[(0, 8, 'B-TYPE')]"
17865,прочие натуральный,"[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]"
10031,корм для стерилизованных кот,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 24, 'O'), (25, 30, 'O')]"
292,bohemia салатник,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]"
5239,вялен аяр,"[(0, 8, 'O')]"
8289,капуста papadimitri,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]"
9656,консервы,"[(0, 8, 'B-TYPE')]"
2504,айа,"[(0, 3, 'B-TYPE')]"
24310,утк,"[(0, 3, 'B-TYPE')]"
10371,крабова,"[(0, 7, 'B-TYPE')]"
11364,лапмпочка,"[(0, 9, 'B-TYPE')]"
7391,зерно,"[(0, 5, 'B-TYPE')]"
18218,пятновыводитель biom,"[(0, 15, 'B-TYPE'), (16, 20, 'B-BRAND')]"
16302,печёночный,"[(0, 10, 'B-TYPE')]"
8954,ким чи,"[(0, 5, 'B-TYPE')]"
8281,кап усат,"[(0, 7, 'B-TYPE')]"
110,arivari,"[(0, 7, 'B-BRAND')]"
24496,филе куриный охладить,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 24, 'O')]"
18391,рвсяный,"[(0, 7, 'B-TYPE')]"
14810,огрурцв,"[(0, 7, 'B-TYPE')]"
1417,mamell,"[(0, 6, 'B-BRAND')]"
15186,опрошка,"[(0, 7, 'B-TYPE')]"
10946,кто ни будь вельмонт,"[(0, 10, 'O'), (11, 19, 'B-BRAND')]"
11391,лапшп,"[(0, 5, 'B-TYPE')]"
16265,петрушкк,"[(0, 8, 'B-TYPE')]"
22194,сушк,"[(0, 4, 'B-TYPE')]"
4077,бульйон,"[(0, 7, 'B-TYPE')]"
5356,галантере,"[(0, 9, 'B-TYPE')]"
17866,прочие овощ,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
10917,крышка econta,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
6560,диффузор,"[(0, 9, 'B-TYPE'), (10, 11, 'B-BRAND')]"
27155,яйчная,"[(0, 6, 'B-TYPE')]"
3349,бекон,"[(0, 6, 'B-TYPE')]"
12521,масло льняной,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
21623,средство доя стекл,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]"
8437,кардам,"[(0, 6, 'B-TYPE')]"
14610,нф обложка,"[(0, 2, 'B-BRAND'), (3, 10, 'B-TYPE')]"
5063,вода туалетный,"[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]"
10470,красный mika,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
23825,трородный,"[(0, 9, 'B-TYPE')]"
15163,ополаскиватель aquarius,"[(0, 14, 'B-TYPE'), (15, 23, 'B-BRAND')]"
16505,пила диск,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
19384,сарделька унипром,"[(0, 9, 'B-TYPE'), (10, 17, 'B-BRAND')]"
95,aquafresh,"[(0, 9, 'B-BRAND')]"
15875,пекан,"[(0, 5, 'B-TYPE')]"
26091,шампиньон красный цена,"[(0, 10, 'B-TYPE'), (11, 18, 'O'), (19, 23, 'O')]"
2611,ам,"[(0, 2, 'O')]"
10098,корнишонв,"[(0, 9, 'B-TYPE')]"
11010,кукурузнве,"[(0, 10, 'B-TYPE')]"
23256,телек,"[(0, 5, 'B-TYPE')]"
8411,карандаш,"[(0, 10, 'B-TYPE')]"
16831,плюшка московский,"[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]"
4155,бумажный салфетка,"[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]"
12672,маёнез,"[(0, 6, 'B-TYPE')]"
7420,зерно вр,"[(0, 7, 'B-TYPE')]"
22148,сухой корм мира торг,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 19, 'B-BRAND')]"
10925,крышка перекрест,"[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]"
12558,масло сливов ное,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
25166,хллеб,"[(0, 5, 'B-TYPE')]"
6170,грудин уа,"[(0, 8, 'B-TYPE')]"
10649,крендель с соль,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]"
13963,мягкий игруш,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
19666,свёкла маринованная,"[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]"
5703,гольф minim,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
12749,мелок мульти пуля,"[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]"
22719,сырокопчнй,"[(0, 10, 'O')]"
20873,соивочное,"[(0, 9, 'B-TYPE')]"
6457,детский каша,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
1793,picni,"[(0, 5, 'B-BRAND')]"
14976,одноразовый пеленк,"[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]"
21104,солф,"[(0, 4, 'B-TYPE')]"
23409,тиксы,"[(0, 5, 'B-BRAND')]"
6742,дрожжр,"[(0, 6, 'B-TYPE')]"
26692,эму нели,"[(0, 7, 'B-BRAND')]"
17977,птица морожена,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
8851,кекс,"[(0, 5, 'B-TYPE')]"
18239,равиолло вареник,"[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]"
24103,тыквеный,"[(0, 8, 'B-TYPE')]"
4791,винн,"[(0, 4, 'B-TYPE')]"
4200,бутылка,"[(0, 7, 'B-TYPE')]"
24722,фру те,"[(0, 5, 'B-TYPE')]"
24436,феникс фон,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
8085,кабачок черкашин,"[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]"
319,boombbar,"[(0, 8, 'B-BRAND')]"
9432,колбаска ок раи,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
17664,производство дын,"[(0, 12, 'B-BRAND'), (13, 16, 'B-TYPE')]"
10567,крекер,"[(0, 8, 'B-TYPE')]"
24153,удаление ск,"[(0, 8, 'B-TYPE'), (9, 11, 'I-TYPE')]"
15389,охладить перекрёсток,"[(0, 11, 'B-TYPE'), (12, 23, 'B-BRAND')]"
14102,набор чайный,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
15757,пастилка cem,"[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]"
5913,грана вт,"[(0, 7, 'B-TYPE')]"
5614,говядина красный цена,"[(0, 8, 'B-TYPE'), (9, 16, 'O'), (17, 21, 'O')]"
20217,сковорода сотейники,"[(0, 10, 'B-TYPE'), (11, 20, 'I-TYPE')]"
7232,заморозить,"[(0, 12, 'B-TYPE')]"
5493,гель для стирка,"[(0, 4, 'B-TYPE'), (5, 9, 'O'), (10, 16, 'O')]"
15760,пастилка mariqui,"[(0, 8, 'B-TYPE'), (9, 16, 'B-BRAND')]"
25457,цыпленокэ,"[(0, 9, 'B-TYPE')]"
9408,колбаска cherkizov,"[(0, 8, 'B-TYPE'), (9, 18, 'B-BRAND')]"
20503,слущенка,"[(0, 8, 'B-TYPE')]"
330,boun без,"[(0, 4, 'B-BRAND'), (5, 8, 'O')]"
9978,корица производство,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]"
9004,кислый сладкий,"[(0, 13, 'B-TYPE')]"
10170,косметичка primani,"[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND')]"
3116,барок коли,"[(0, 9, 'B-TYPE')]"
5790,горошек ромашкин,"[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]"
3331,без мол,"[(0, 6, 'B-TYPE')]"
613,dingo,"[(0, 5, 'B-BRAND')]"
27039,яйаца,"[(0, 5, 'B-TYPE')]"
7579,иахито,"[(0, 6, 'B-TYPE')]"
722,energy,"[(0, 6, 'B-TYPE')]"
16951,пододеялники,"[(0, 12, 'B-TYPE')]"
5806,горршею,"[(0, 7, 'B-TYPE')]"
6158,гророх,"[(0, 6, 'B-TYPE')]"
1860,razzbery,"[(0, 8, 'B-TYPE')]"
25422,цитрон,"[(0, 6, 'B-TYPE')]"
11041,кукурцз,"[(0, 7, 'B-TYPE')]"
8598,картошка,"[(0, 8, 'B-TYPE')]"
5430,га шлык,"[(0, 6, 'B-TYPE')]"
10302,кофейник bodum,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
18512,римблоек,"[(0, 8, 'B-TYPE')]"
17172,помидооы,"[(0, 8, 'B-TYPE')]"
16240,петрохлеб калач,"[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]"
20418,слива,"[(0, 5, 'B-TYPE')]"
7496,зонт city,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
23684,торт полярный,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
18097,пшентчная,"[(0, 9, 'B-TYPE')]"
18595,рисовый мука,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
2259,venetta,"[(0, 7, 'B-BRAND')]"
3464,биг ланч,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]"
19391,сардина ба,"[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]"
22430,сыр с поесенью,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]"
12113,мак кроны,"[(0, 8, 'B-TYPE')]"
6900,жвавка,"[(0, 6, 'B-TYPE')]"
11562,лимонг,"[(0, 6, 'B-TYPE')]"
9925,корж самотлор,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
24710,фрукт заморозить,"[(0, 6, 'B-TYPE'), (7, 19, 'I-TYPE')]"
12529,масло оливковый,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
7874,итальянский трава,"[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]"
6125,гриль pione,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
18094,пшено шебекинск,"[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND')]"
1278,laplandia,"[(0, 9, 'B-BRAND')]"
26298,шоколад алёнка,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
20621,сметать кубанский молочник,"[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND'), (18, 26, 'I-BRAND')]"
16605,пир яники,"[(0, 8, 'B-TYPE')]"
13864,мучн см ес,"[(0, 4, 'O'), (5, 9, 'O')]"
24847,халвав,"[(0, 6, 'B-TYPE')]"
19020,с пыл с,"[(0, 1, 'O'), (2, 6, 'O'), (7, 8, 'O')]"
10216,кот летя,"[(0, 7, 'B-TYPE')]"
14590,нутртоак,"[(0, 8, 'B-TYPE')]"
11210,курятин,"[(0, 7, 'B-TYPE')]"
10884,крылашк,"[(0, 7, 'B-TYPE')]"
14532,нуга petra,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]"
13571,морожкное,"[(0, 9, 'B-TYPE')]"
6057,гречка,"[(0, 6, 'B-TYPE')]"
20924,сок детский без сахар,"[(0, 3, 'B-TYPE'), (4, 11, 'O'), (12, 15, 'O'), (16, 22, 'O')]"
12934,минеральный,"[(0, 11, 'B-TYPE')]"
19359,сапожки leg,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
7018,жигулёвский,"[(0, 11, 'B-BRAND')]"
12083,макароны шебе,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
19960,семечки подсолнечник,"[(0, 7, 'B-TYPE'), (8, 21, 'I-TYPE')]"
5688,голубец пан,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
26843,юбилкйное,"[(0, 9, 'B-TYPE')]"
10184,котлета для бу,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 14, 'O')]"
318,boombar,"[(0, 7, 'B-BRAND')]"
51,almett,"[(0, 6, 'B-BRAND')]"
8500,кар ташка,"[(0, 8, 'B-TYPE')]"
10856,крупка гречневый,"[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]"
92,apy ople,"[(0, 3, 'O'), (4, 8, 'O')]"
21703,стаукан,"[(0, 7, 'B-TYPE')]"
8218,канфеьы,"[(0, 7, 'B-TYPE')]"
9923,корж самотл,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
26225,шеба,"[(0, 4, 'B-BRAND')]"
